,registro,clima,temperatura,sens_termica,humedad,viento,ocasionales,registrados,total,fecha_nueva,festividad,festividad_1,año_bueno,estacion_correcta,mes_bueno,dia_semana_nuevo,no_laboral_nuevo
0,1,2,14.1,18.2,81.0,10.7,331,654,985,2018-01-01,New Year's Day,1,2018,invierno,1,0,0
1,2,2,14.9,17.7,70.0,16.7,131,670,801,2018-01-02,,0,2018,invierno,1,1,1
2,3,1,8.0,9.5,44.0,16.6,120,1229,1349,2018-01-03,,0,2018,invierno,1,2,1
3,4,1,8.2,10.6,59.0,10.7,108,1454,1562,2018-01-04,,0,2018,invierno,1,3,1
4,5,1,9.3,11.5,44.0,12.5,82,1518,1600,2018-01-05,,0,2018,invierno,1,4,1
5,6,1,8.4,11.7,52.0,6.0,88,1518,1606,2018-01-06,,0,2018,invierno,1,5,0
6,7,2,8.1,10.4,50.0,11.3,148,1362,1510,2018-01-07,,0,2018,invierno,1,6,0
7,8,2,6.8,8.1,54.0,17.9,68,891,959,2018-01-08,,0,2018,invierno,1,0,1
8,9,1,5.7,5.8,43.0,24.3,54,768,822,2018-01-09,,0,2018,invierno,1,1,1
9,10,1,6.2,7.5,48.0,15.0,41,1280,1321,2018-01-10,,0,2018,invierno,1,2,1
10,11,2,6.9,9.6,69.0,8.2,43,1220,1263,2018-01-11,,0,2018,invierno,1,3,1
11,12,1,7.1,8.0,60.0,20.4,25,1137,1162,2018-01-12,,0,2018,invierno,1,4,1
12,13,1,6.8,7.5,47.0,20.2,38,1368,1406,2018-01-13,,0,2018,invierno,1,5,0
13,14,1,6.6,9.4,54.0,8.5,54,1367,1421,2018-01-14,,0,2018,invierno,1,6,0
14,15,2,9.6,12.4,50.0,10.6,222,1026,1248,2018-01-15,Martin Luther King Jr. Day,1,2018,invierno,1,0,0
15,16,1,9.5,11.7,48.0,12.6,251,953,1204,2018-01-16,,0,2018,invierno,1,1,1
16,17,2,7.2,8.8,54.0,13.0,117,883,1000,2018-01-17,,0,2018,invierno,1,2,1
17,18,2,8.9,11.6,86.0,9.8,9,674,683,2018-01-18,,0,2018,invierno,1,3,1
18,19,2,12.0,14.9,74.0,14.0,78,1572,1650,2018-01-19,,0,2018,invierno,1,4,1
19,20,2,10.7,12.8,54.0,13.1,83,1844,1927,2018-01-20,,0,2018,invierno,1,5,0
20,21,1,7.3,7.9,46.0,23.7,75,1468,1543,2018-01-21,,0,2018,invierno,1,6,0
21,22,1,2.4,4.0,40.0,11.5,93,888,981,2018-01-22,,0,2018,invierno,1,0,1
22,23,1,4.0,4.9,44.0,16.5,150,836,986,2018-01-23,,0,2018,invierno,1,1,1
23,24,1,4.0,5.9,49.0,10.6,86,1330,1416,2018-01-24,,0,2018,invierno,1,2,1
24,25,2,9.2,11.7,62.0,8.7,186,1799,1985,2018-01-25,,0,2018,invierno,1,3,1
25,26,3,8.9,10.2,86.0,19.7,34,472,506,2018-01-26,,0,2018,invierno,1,4,1
26,27,1,8.0,11.0,69.0,7.6,15,416,431,2018-01-27,,0,2018,invierno,1,5,0
27,28,2,8.3,11.2,79.0,8.3,38,1129,1167,2018-01-28,,0,2018,invierno,1,6,0
28,29,1,8.1,10.6,65.0,9.7,123,975,1098,2018-01-29,,0,2018,invierno,1,0,1
29,30,1,8.9,12.5,72.0,5.0,140,956,1096,2018-01-30,,0,2018,invierno,1,1,1
30,31,2,7.4,9.3,60.0,12.5,42,1459,1501,2018-01-31,,0,2018,invierno,1,2,1
31,32,2,7.9,11.7,83.0,3.6,47,1313,1360,2018-02-01,,0,2018,invierno,2,3,1
32,33,2,10.7,12.7,78.0,17.7,72,1454,1526,2018-02-02,,0,2018,invierno,2,4,1
33,34,1,7.7,8.9,44.0,18.6,61,1489,1550,2018-02-03,,0,2018,invierno,2,5,0
34,35,2,8.7,11.4,59.0,8.6,88,1620,1708,2018-02-04,,0,2018,invierno,2,6,0
35,36,2,9.6,12.2,93.0,10.8,100,905,1005,2018-02-05,,0,2018,invierno,2,0,1
36,37,1,11.7,14.6,57.0,9.5,354,1269,1623,2018-02-06,,0,2018,invierno,2,1,1
37,38,1,11.1,15.2,74.0,3.0,120,1592,1712,2018-02-07,,0,2018,invierno,2,2,1
38,39,1,9.0,9.9,54.0,24.3,64,1466,1530,2018-02-08,,0,2018,invierno,2,3,1
39,40,2,5.5,7.2,49.0,12.7,53,1552,1605,2018-02-09,,0,2018,invierno,2,4,1
40,41,1,5.9,7.5,44.0,14.9,47,1491,1538,2018-02-10,,0,2018,invierno,2,5,0
41,42,1,7.8,10.7,51.0,7.3,149,1597,1746,2018-02-11,,0,2018,invierno,2,6,0
42,43,1,9.1,11.6,54.0,13.6,288,1184,1472,2018-02-12,,0,2018,invierno,2,0,1
43,44,1,13.0,16.2,46.0,17.5,397,1192,1589,2018-02-13,,0,2018,invierno,2,1,1
44,45,1,17.0,19.9,38.0,28.0,208,1705,1913,2018-02-14,,0,2018,invierno,2,2,1
45,46,1,10.9,12.7,31.0,19.5,140,1675,1815,2018-02-15,,0,2018,invierno,2,3,1
46,47,1,13.0,15.8,42.0,16.9,218,1897,2115,2018-02-16,,0,2018,invierno,2,4,1
47,48,1,17.9,21.4,50.0,15.4,259,2216,2475,2018-02-17,,0,2018,invierno,2,5,0
48,49,1,21.4,25.6,52.0,17.7,579,2348,2927,2018-02-18,,0,2018,invierno,2,6,0
49,50,1,16.4,19.6,19.0,34.0,532,1103,1635,2018-02-19,Washington's Birthday,1,2018,invierno,2,0,0
50,51,1,11.7,13.9,41.0,15.0,639,1173,1812,2018-02-20,,0,2018,invierno,2,1,1
51,52,2,12.4,14.2,60.0,20.6,195,912,1107,2018-02-21,,0,2018,invierno,2,2,1
52,53,1,7.5,9.3,58.0,13.1,74,1376,1450,2018-02-22,,0,2018,invierno,2,3,1
53,54,1,9.1,12.3,42.0,6.3,139,1778,1917,2018-02-23,,0,2018,invierno,2,4,1
54,55,2,12.1,14.5,70.0,16.8,100,1707,1807,2018-02-24,,0,2018,invierno,2,5,0
55,56,2,14.9,17.5,71.0,23.2,120,1341,1461,2018-02-25,,0,2018,invierno,2,6,0
56,57,1,11.6,14.1,54.0,12.5,424,1545,1969,2018-02-26,,0,2018,invierno,2,0,1
57,58,1,14.1,17.6,68.0,8.4,694,1708,2402,2018-02-27,,0,2018,invierno,2,1,1
58,59,2,16.7,20.0,88.0,19.4,81,1365,1446,2018-02-28,,0,2018,invierno,2,2,1
59,60,1,10.9,13.2,54.0,14.5,137,1714,1851,2018-03-01,,0,2018,invierno,3,3,1
60,61,1,13.7,16.0,45.0,20.6,231,1903,2134,2018-03-02,,0,2018,invierno,3,4,1
61,62,1,8.1,10.0,32.0,15.1,123,1562,1685,2018-03-03,,0,2018,invierno,3,5,0
62,63,2,10.7,12.8,61.0,13.6,214,1730,1944,2018-03-04,,0,2018,invierno,3,6,0
63,64,2,15.8,18.9,79.0,16.9,640,1437,2077,2018-03-05,,0,2018,invierno,3,0,1
64,65,2,15.4,18.3,95.0,23.0,114,491,605,2018-03-06,,0,2018,invierno,3,1,1
65,66,1,10.7,11.9,55.0,22.9,244,1628,1872,2018-03-07,,0,2018,invierno,3,2,1
66,67,1,12.0,15.1,42.0,8.1,316,1817,2133,2018-03-08,,0,2018,invierno,3,3,1
