,registro,clima,temperatura,sens_termica,humedad,viento,registrados,fecha_nueva,festividad,festividad_1,año_bueno,estacion_correcta,mes_bueno,dia_semana_nuevo,no_laboral_nuevo
0,1,2,14.1,18.2,81.0,10.7,654,2018-01-01,New Year's Day,1,2018,invierno,1,0,0
1,2,2,14.9,17.7,70.0,16.7,670,2018-01-02,,0,2018,invierno,1,1,1
2,3,1,8.0,9.5,44.0,16.6,1229,2018-01-03,,0,2018,invierno,1,2,1
3,4,1,8.2,10.6,59.0,10.7,1454,2018-01-04,,0,2018,invierno,1,3,1
4,5,1,9.3,11.5,44.0,12.5,1518,2018-01-05,,0,2018,invierno,1,4,1
5,6,1,8.4,11.7,52.0,6.0,1518,2018-01-06,,0,2018,invierno,1,5,0
6,7,2,8.1,10.4,50.0,11.3,1362,2018-01-07,,0,2018,invierno,1,6,0
7,8,2,6.8,8.1,54.0,17.9,891,2018-01-08,,0,2018,invierno,1,0,1
8,9,1,5.7,5.8,43.0,24.3,768,2018-01-09,,0,2018,invierno,1,1,1
9,10,1,6.2,7.5,48.0,15.0,1280,2018-01-10,,0,2018,invierno,1,2,1
10,11,2,6.9,9.6,69.0,8.2,1220,2018-01-11,,0,2018,invierno,1,3,1
11,12,1,7.1,8.0,60.0,20.4,1137,2018-01-12,,0,2018,invierno,1,4,1
12,13,1,6.8,7.5,47.0,20.2,1368,2018-01-13,,0,2018,invierno,1,5,0
13,14,1,6.6,9.4,54.0,8.5,1367,2018-01-14,,0,2018,invierno,1,6,0
14,15,2,9.6,12.4,50.0,10.6,1026,2018-01-15,Martin Luther King Jr. Day,1,2018,invierno,1,0,0
15,16,1,9.5,11.7,48.0,12.6,953,2018-01-16,,0,2018,invierno,1,1,1
16,17,2,7.2,8.8,54.0,13.0,883,2018-01-17,,0,2018,invierno,1,2,1
17,18,2,8.9,11.6,86.0,9.8,674,2018-01-18,,0,2018,invierno,1,3,1
18,19,2,12.0,14.9,74.0,14.0,1572,2018-01-19,,0,2018,invierno,1,4,1
19,20,2,10.7,12.8,54.0,13.1,1844,2018-01-20,,0,2018,invierno,1,5,0
20,21,1,7.3,7.9,46.0,23.7,1468,2018-01-21,,0,2018,invierno,1,6,0
21,22,1,2.4,4.0,40.0,11.5,888,2018-01-22,,0,2018,invierno,1,0,1
22,23,1,4.0,4.9,44.0,16.5,836,2018-01-23,,0,2018,invierno,1,1,1
23,24,1,4.0,5.9,49.0,10.6,1330,2018-01-24,,0,2018,invierno,1,2,1
24,25,2,9.2,11.7,62.0,8.7,1799,2018-01-25,,0,2018,invierno,1,3,1
25,26,3,8.9,10.2,86.0,19.7,472,2018-01-26,,0,2018,invierno,1,4,1
26,27,1,8.0,11.0,69.0,7.6,416,2018-01-27,,0,2018,invierno,1,5,0
27,28,2,8.3,11.2,79.0,8.3,1129,2018-01-28,,0,2018,invierno,1,6,0
28,29,1,8.1,10.6,65.0,9.7,975,2018-01-29,,0,2018,invierno,1,0,1
29,30,1,8.9,12.5,72.0,5.0,956,2018-01-30,,0,2018,invierno,1,1,1
30,31,2,7.4,9.3,60.0,12.5,1459,2018-01-31,,0,2018,invierno,1,2,1
31,32,2,7.9,11.7,83.0,3.6,1313,2018-02-01,,0,2018,invierno,2,3,1
32,33,2,10.7,12.7,78.0,17.7,1454,2018-02-02,,0,2018,invierno,2,4,1
33,34,1,7.7,8.9,44.0,18.6,1489,2018-02-03,,0,2018,invierno,2,5,0
34,35,2,8.7,11.4,59.0,8.6,1620,2018-02-04,,0,2018,invierno,2,6,0
35,36,2,9.6,12.2,93.0,10.8,905,2018-02-05,,0,2018,invierno,2,0,1
36,37,1,11.7,14.6,57.0,9.5,1269,2018-02-06,,0,2018,invierno,2,1,1
37,38,1,11.1,15.2,74.0,3.0,1592,2018-02-07,,0,2018,invierno,2,2,1
