,registro,clima,temperatura,sens_termica,humedad,viento,registrados,fecha_nueva,festividad,festividad_1,año_bueno,estacion_correcta,mes_bueno,dia_semana_nuevo,no_laboral_nuevo
0,1,2,-0.8289480364326732,-0.6786352886668973,1.2951307968222954,-0.3765454325302844,654,2018-01-01,New Year's Day,1,2018,invierno,1,0,0
1,2,2,-0.7223121376537223,-0.7400342625566471,0.5074065450904565,0.8821096214008606,670,2018-01-02,,0,2018,invierno,1,1,1
2,3,1,-1.6420467646221735,-1.7469774343485425,-1.354487140821163,0.8611320371686753,1229,2018-01-03,,0,2018,invierno,1,2,1
3,4,1,-1.6153877899274358,-1.611899691791093,-0.28031770664138256,-0.3765454325302844,1454,2018-01-04,,0,2018,invierno,1,3,1
4,5,1,-1.4687634291063782,-1.5013815387895435,-1.354487140821163,0.0010510836490592388,1518,2018-01-05,,0,2018,invierno,1,4,1
5,6,1,-1.588728815232698,-1.4768219492336438,-0.7815967759252801,-1.3624918914430144,1518,2018-01-06,,0,2018,invierno,1,5,0
6,7,2,-1.6287172772748046,-1.636459281346993,-0.9248193671492508,-0.2506799271371696,1362,2018-01-07,,0,2018,invierno,1,6,0
7,8,2,-1.8020006127905996,-1.9188945612398418,-0.6383741847013094,1.1338406321870893,891,2018-01-08,,0,2018,invierno,1,0,1
8,9,1,-1.9486249736116572,-2.2013298411326905,-1.4260984364331484,2.4764060230469775,768,2018-01-09,,0,2018,invierno,1,1,1
9,10,1,-1.881977536874813,-1.9925733299075414,-1.0680419583732215,0.5254906894537029,1280,2018-01-10,,0,2018,invierno,1,2,1
10,11,2,-1.7886711254432308,-1.7346976395705926,0.43579524947847104,-0.9009850383349282,1220,2018-01-11,,0,2018,invierno,1,3,1
11,12,1,-1.7620121507484932,-1.9311743560177916,-0.20870641102939722,1.6582802379917332,1137,2018-01-12,,0,2018,invierno,1,4,1
12,13,1,-1.8020006127905996,-1.9925733299075414,-1.139653253985207,1.6163250695273617,1368,2018-01-13,,0,2018,invierno,1,5,0
13,14,1,-1.8286595874853375,-1.7592572291264923,-0.6383741847013094,-0.8380522856383708,1367,2018-01-14,,0,2018,invierno,1,6,0
14,15,2,-1.4287749670642718,-1.390863385787994,-0.9248193671492508,-0.39752301676247004,1026,2018-01-15,Martin Luther King Jr. Day,1,2018,invierno,1,0,0
15,16,1,-1.4421044544116406,-1.4768219492336438,-1.0680419583732215,0.022028667881244912,953,2018-01-16,,0,2018,invierno,1,1,1
16,17,2,-1.7486826634011243,-1.832935997794192,-0.6383741847013094,0.10593900480998798,883,2018-01-17,,0,2018,invierno,1,2,1
17,18,2,-1.5220813784958538,-1.4891017440115937,1.6531872748822223,-0.5653436906199558,674,2018-01-18,,0,2018,invierno,1,3,1
18,19,2,-1.1088672707274192,-1.0838685163392454,0.7938517275383978,0.3157148471318455,1572,2018-01-19,,0,2018,invierno,1,4,1
19,20,2,-1.2821506062432144,-1.3417442066761942,-0.6383741847013094,0.12691658904217365,1844,2018-01-20,,0,2018,invierno,1,5,0
20,21,1,-1.7353531760537553,-1.9434541507957415,-1.2112645495971923,2.350540517653863,1468,2018-01-21,,0,2018,invierno,1,6,0
21,22,1,-2.3884980560748295,-2.4223661471357896,-1.6409323232691044,-0.20872475867279824,888,2018-01-22,,0,2018,invierno,1,0,1
22,23,1,-2.1752262585169277,-2.31184799413424,-1.354487140821163,0.8401544529364892,836,2018-01-23,,0,2018,invierno,1,1,1
23,24,1,-2.1752262585169277,-2.189050046354741,-0.9964306627612363,-0.39752301676247004,1330,2018-01-24,,0,2018,invierno,1,2,1
24,25,2,-1.4820929164537473,-1.4768219492336438,-0.06548381980542649,-0.7960971171739993,1799,2018-01-25,,0,2018,invierno,1,3,1
25,26,3,-1.5220813784958538,-1.661018870902893,1.6531872748822223,1.511437148366433,472,2018-01-26,,0,2018,invierno,1,4,1
