,registro,clima,temperatura,sens_termica,humedad,viento,total,fecha_nueva,festividad,festividad_1,mes_bueno,dia_semana_nuevo,no_laboral_nuevo,año_map,estacion_map
0,1,2,14.1,18.2,81.0,10.7,985,2018-01-01,New Year's Day,1,1,0,0,0,0
1,2,2,14.9,17.7,70.0,16.7,801,2018-01-02,,0,1,1,1,0,0
2,3,1,8.0,9.5,44.0,16.6,1349,2018-01-03,,0,1,2,1,0,0
3,4,1,8.2,10.6,59.0,10.7,1562,2018-01-04,,0,1,3,1,0,0
4,5,1,9.3,11.5,44.0,12.5,1600,2018-01-05,,0,1,4,1,0,0
5,6,1,8.4,11.7,52.0,6.0,1606,2018-01-06,,0,1,5,0,0,0
6,7,2,8.1,10.4,50.0,11.3,1510,2018-01-07,,0,1,6,0,0,0
7,8,2,6.8,8.1,54.0,17.9,959,2018-01-08,,0,1,0,1,0,0
8,9,1,5.7,5.8,43.0,24.3,822,2018-01-09,,0,1,1,1,0,0
9,10,1,6.2,7.5,48.0,15.0,1321,2018-01-10,,0,1,2,1,0,0
10,11,2,6.9,9.6,69.0,8.2,1263,2018-01-11,,0,1,3,1,0,0
11,12,1,7.1,8.0,60.0,20.4,1162,2018-01-12,,0,1,4,1,0,0
12,13,1,6.8,7.5,47.0,20.2,1406,2018-01-13,,0,1,5,0,0,0
13,14,1,6.6,9.4,54.0,8.5,1421,2018-01-14,,0,1,6,0,0,0
14,15,2,9.6,12.4,50.0,10.6,1248,2018-01-15,Martin Luther King Jr. Day,1,1,0,0,0,0
15,16,1,9.5,11.7,48.0,12.6,1204,2018-01-16,,0,1,1,1,0,0
16,17,2,7.2,8.8,54.0,13.0,1000,2018-01-17,,0,1,2,1,0,0
17,18,2,8.9,11.6,86.0,9.8,683,2018-01-18,,0,1,3,1,0,0
18,19,2,12.0,14.9,74.0,14.0,1650,2018-01-19,,0,1,4,1,0,0
19,20,2,10.7,12.8,54.0,13.1,1927,2018-01-20,,0,1,5,0,0,0
20,21,1,7.3,7.9,46.0,23.7,1543,2018-01-21,,0,1,6,0,0,0
21,22,1,2.4,4.0,40.0,11.5,981,2018-01-22,,0,1,0,1,0,0
22,23,1,4.0,4.9,44.0,16.5,986,2018-01-23,,0,1,1,1,0,0
23,24,1,4.0,5.9,49.0,10.6,1416,2018-01-24,,0,1,2,1,0,0
24,25,2,9.2,11.7,62.0,8.7,1985,2018-01-25,,0,1,3,1,0,0
25,26,3,8.9,10.2,86.0,19.7,506,2018-01-26,,0,1,4,1,0,0
26,27,1,8.0,11.0,69.0,7.6,431,2018-01-27,,0,1,5,0,0,0
27,28,2,8.3,11.2,79.0,8.3,1167,2018-01-28,,0,1,6,0,0,0
28,29,1,8.1,10.6,65.0,9.7,1098,2018-01-29,,0,1,0,1,0,0
29,30,1,8.9,12.5,72.0,5.0,1096,2018-01-30,,0,1,1,1,0,0
30,31,2,7.4,9.3,60.0,12.5,1501,2018-01-31,,0,1,2,1,0,0
31,32,2,7.9,11.7,83.0,3.6,1360,2018-02-01,,0,2,3,1,0,0
32,33,2,10.7,12.7,78.0,17.7,1526,2018-02-02,,0,2,4,1,0,0
33,34,1,7.7,8.9,44.0,18.6,1550,2018-02-03,,0,2,5,0,0,0
