,registro,clima,temperatura,sens_termica,humedad,viento,total,fecha_nueva,festividad,festividad_1,mes_bueno,dia_semana_nuevo,no_laboral_nuevo,año_map,estacion_map
0,1,2,-0.8289480364326732,-0.6786352886668973,1.2794633293803972,-0.3765454325302844,985,2018-01-01,New Year's Day,1,1,0,0,0,0
1,2,2,-0.7223121376537223,-0.7400342625566471,0.5074977019910674,0.8821096214008606,801,2018-01-02,,0,1,1,1,0,0
2,3,1,-1.6420467646221735,-1.7469774343485425,-1.317148326383712,0.8611320371686753,1349,2018-01-03,,0,1,2,1,0,0
3,4,1,-1.6153877899274358,-1.611899691791093,-0.26446792539826236,-0.3765454325302844,1562,2018-01-04,,0,1,3,1,0,0
4,5,1,-1.4687634291063782,-1.5013815387895435,-1.317148326383712,0.0010510836490592388,1600,2018-01-05,,0,1,4,1,0,0
5,6,1,-1.588728815232698,-1.4768219492336438,-0.7557187791914721,-1.3624918914430144,1606,2018-01-06,,0,1,5,0,0,0
6,7,2,-1.6287172772748046,-1.636459281346993,-0.8960761659895321,-0.2506799271371696,1510,2018-01-07,,0,1,6,0,0,0
7,8,2,-1.8020006127905996,-1.9188945612398418,-0.6153613923934123,1.1338406321870893,959,2018-01-08,,0,1,0,1,0,0
8,9,1,-1.9486249736116572,-2.2013298411326905,-1.3873270197827419,2.4764060230469775,822,2018-01-09,,0,1,1,1,0,0
9,10,1,-1.881977536874813,-1.9925733299075414,-1.036433552787592,0.5254906894537029,1321,2018-01-10,,0,1,2,1,0,0
10,11,2,-1.7886711254432308,-1.7346976395705926,0.43731900859203743,-0.9009850383349282,1263,2018-01-11,,0,1,3,1,0,0
11,12,1,-1.7620121507484932,-1.9311743560177916,-0.19428923199923237,1.6582802379917332,1162,2018-01-12,,0,1,4,1,0,0
12,13,1,-1.8020006127905996,-1.9925733299075414,-1.1066122461866221,1.6163250695273617,1406,2018-01-13,,0,1,5,0,0,0
13,14,1,-1.8286595874853375,-1.7592572291264923,-0.6153613923934123,-0.8380522856383708,1421,2018-01-14,,0,1,6,0,0,0
14,15,2,-1.4287749670642718,-1.390863385787994,-0.8960761659895321,-0.39752301676247004,1248,2018-01-15,Martin Luther King Jr. Day,1,1,0,0,0,0
15,16,1,-1.4421044544116406,-1.4768219492336438,-1.036433552787592,0.022028667881244912,1204,2018-01-16,,0,1,1,1,0,0
16,17,2,-1.7486826634011243,-1.832935997794192,-0.6153613923934123,0.10593900480998798,1000,2018-01-17,,0,1,2,1,0,0
17,18,2,-1.5220813784958538,-1.4891017440115937,1.630356796375547,-0.5653436906199558,683,2018-01-18,,0,1,3,1,0,0
18,19,2,-1.1088672707274192,-1.0838685163392454,0.7882124755871873,0.3157148471318455,1650,2018-01-19,,0,1,4,1,0,0
19,20,2,-1.2821506062432144,-1.3417442066761942,-0.6153613923934123,0.12691658904217365,1927,2018-01-20,,0,1,5,0,0,0
20,21,1,-1.7353531760537553,-1.9434541507957415,-1.176790939585652,2.350540517653863,1543,2018-01-21,,0,1,6,0,0,0
21,22,1,-2.3884980560748295,-2.4223661471357896,-1.5978630999798318,-0.20872475867279824,981,2018-01-22,,0,1,0,1,0,0
22,23,1,-2.1752262585169277,-2.31184799413424,-1.317148326383712,0.8401544529364892,986,2018-01-23,,0,1,1,1,0,0
23,24,1,-2.1752262585169277,-2.189050046354741,-0.9662548593885621,-0.39752301676247004,1416,2018-01-24,,0,1,2,1,0,0
24,25,2,-1.4820929164537473,-1.4768219492336438,-0.05393184520117241,-0.7960971171739993,1985,2018-01-25,,0,1,3,1,0,0
25,26,3,-1.5220813784958538,-1.661018870902893,1.630356796375547,1.511437148366433,506,2018-01-26,,0,1,4,1,0,0
26,27,1,-1.6420467646221735,-1.5627805126792933,0.43731900859203743,-1.0268505437280426,431,2018-01-27,,0,1,5,0,0,0
27,28,2,-1.6020583025800668,-1.5382209231233934,1.139105942582337,-0.8800074541027421,1167,2018-01-28,,0,1,6,0,0,0
28,29,1,-1.6287172772748046,-1.611899691791093,0.15660423499591752,-0.5863212748521419,1098,2018-01-29,,0,1,0,1,0,0
29,30,1,-1.5220813784958538,-1.3785835910100441,0.6478550887891273,-1.5722677337648718,1096,2018-01-30,,0,1,1,1,0,0
30,31,2,-1.7220236887063864,-1.7715370239044423,-0.19428923199923237,0.0010510836490592388,1501,2018-01-31,,0,1,2,1,0,0
31,32,2,-1.6553762519695423,-1.4768219492336438,1.419820716178457,-1.8659539130154725,1360,2018-02-01,,0,2,3,1,0,0
32,33,2,-1.2821506062432144,-1.3540240014541443,1.0689272491833073,1.091885463722718,1526,2018-02-02,,0,2,4,1,0,0
33,34,1,-1.6820352266642802,-1.820656203016242,-1.317148326383712,1.2806837218123903,1550,2018-02-03,,0,2,5,0,0,0
